scenario,hidden_parameter_dimension,hidden_parameter_name,active,physical_unit,physical_support_lower,physical_support_upper,scenario_fixed_value_if_inactive,prior_family,prior_lower,prior_upper,prior_mean,prior_std,normalisation_center,normalisation_half_range,normalised_support_lower,normalised_support_upper,factorisation,protocol_version
friction,1,friction_sliding_mu,true,dimensionless,0.200000,0.600000,not_applicable,continuous_uniform,0.200000,0.600000,0.400000,0.11547005,0.400000,0.200000,-1.000000,1.000000,independent_active_marginals,hcr_v2_hidden_condition_protocol_v1
friction,1,com_offset_x_m,false,m,-0.030000,0.030000,0.000000,point_mass,0.000000,0.000000,0.000000,0.00000000,0.000000,0.030000,-1.000000,1.000000,independent_active_marginals,hcr_v2_hidden_condition_protocol_v1
friction,1,com_offset_y_m,false,m,-0.030000,0.030000,0.000000,point_mass,0.000000,0.000000,0.000000,0.00000000,0.000000,0.030000,-1.000000,1.000000,independent_active_marginals,hcr_v2_hidden_condition_protocol_v1
com,2,friction_sliding_mu,false,dimensionless,0.200000,0.600000,0.400000,point_mass,0.400000,0.400000,0.400000,0.00000000,0.400000,0.200000,-1.000000,1.000000,independent_active_marginals,hcr_v2_hidden_condition_protocol_v1
com,2,com_offset_x_m,true,m,-0.030000,0.030000,not_applicable,continuous_uniform,-0.030000,0.030000,0.000000,0.01732051,0.000000,0.030000,-1.000000,1.000000,independent_active_marginals,hcr_v2_hidden_condition_protocol_v1
com,2,com_offset_y_m,true,m,-0.030000,0.030000,not_applicable,continuous_uniform,-0.030000,0.030000,0.000000,0.01732051,0.000000,0.030000,-1.000000,1.000000,independent_active_marginals,hcr_v2_hidden_condition_protocol_v1
joint,3,friction_sliding_mu,true,dimensionless,0.200000,0.600000,not_applicable,continuous_uniform,0.200000,0.600000,0.400000,0.11547005,0.400000,0.200000,-1.000000,1.000000,independent_active_marginals,hcr_v2_hidden_condition_protocol_v1
joint,3,com_offset_x_m,true,m,-0.030000,0.030000,not_applicable,continuous_uniform,-0.030000,0.030000,0.000000,0.01732051,0.000000,0.030000,-1.000000,1.000000,independent_active_marginals,hcr_v2_hidden_condition_protocol_v1
joint,3,com_offset_y_m,true,m,-0.030000,0.030000,not_applicable,continuous_uniform,-0.030000,0.030000,0.000000,0.01732051,0.000000,0.030000,-1.000000,1.000000,independent_active_marginals,hcr_v2_hidden_condition_protocol_v1
